Student ID,Passed All Modules,Level 5 Weighted Avg (%),Level 6 Weighted Avg (%),Final Aggregate Mark (%),Degree Classification
028,Yes,63.67,64.62,64.39,Second Class (Upper Division) - 2:1
029,Yes,61.33,47.38,50.86,Second Class (Lower Division) - 2:2
030,Yes,66.5,60.0,61.62,Second Class (Upper Division) - 2:1
031,Yes,66.33,63.88,64.49,Second Class (Upper Division) - 2:1
032,Yes,60.0,64.12,63.09,Second Class (Upper Division) - 2:1
033,Yes,54.33,57.88,56.99,Second Class (Lower Division) - 2:2
034,Yes,60.83,70.25,67.9,Second Class (Upper Division) - 2:1
035,Yes,70.0,62.5,64.38,Second Class (Upper Division) - 2:1
036,Yes,50.67,57.12,55.51,Second Class (Lower Division) - 2:2
037,Yes,72.83,54.38,58.99,Second Class (Lower Division) - 2:2
038,Yes,74.67,63.38,66.2,Second Class (Upper Division) - 2:1
039,Yes,66.17,71.88,70.45,First Class
040,Yes,71.67,66.75,67.98,Second Class (Upper Division) - 2:1
041,Yes,66.0,62.62,63.47,Second Class (Upper Division) - 2:1
042,Yes,53.5,55.5,55.0,Second Class (Lower Division) - 2:2
043,Yes,65.0,69.62,68.47,Second Class (Upper Division) - 2:1
044,Yes,70.33,62.5,64.46,Second Class (Upper Division) - 2:1
045,Yes,67.5,58.62,60.84,Second Class (Upper Division) - 2:1
046,Yes,64.17,61.25,61.98,Second Class (Upper Division) - 2:1
047,Yes,70.67,64.75,66.23,Second Class (Upper Division) - 2:1
048,Yes,74.83,68.12,69.8,Second Class (Upper Division) - 2:1
049,Yes,70.83,58.88,61.86,Second Class (Upper Division) - 2:1
050,Yes,71.5,66.88,68.03,Second Class (Upper Division) - 2:1
051,Yes,71.83,65.38,66.99,Second Class (Upper Division) - 2:1
052,Yes,73.83,65.62,67.68,Second Class (Upper Division) - 2:1
053,Yes,74.33,50.38,56.36,Second Class (Lower Division) - 2:2
054,Yes,68.5,72.88,71.78,First Class
055,Yes,51.67,68.12,64.01,Second Class (Upper Division) - 2:1
056,Yes,70.83,64.62,66.18,Second Class (Upper Division) - 2:1
057,Yes,75.5,66.38,68.66,Second Class (Upper Division) - 2:1
058,Yes,56.83,62.38,60.99,Second Class (Upper Division) - 2:1
059,Yes,73.5,61.0,64.12,Second Class (Upper Division) - 2:1
060,Yes,63.0,57.12,58.59,Second Class (Lower Division) - 2:2
061,Yes,65.0,62.5,63.12,Second Class (Upper Division) - 2:1
062,Yes,59.33,63.5,62.46,Second Class (Upper Division) - 2:1
063,Yes,73.67,63.38,65.95,Second Class (Upper Division) - 2:1
064,Yes,73.5,65.62,67.59,Second Class (Upper Division) - 2:1
065,Yes,64.33,65.5,65.21,Second Class (Upper Division) - 2:1
066,Yes,79.0,49.75,57.06,Second Class (Lower Division) - 2:2
067,Yes,58.5,62.88,61.78,Second Class (Upper Division) - 2:1
068,Yes,70.17,58.25,61.23,Second Class (Upper Division) - 2:1
069,Yes,69.83,59.12,61.8,Second Class (Upper Division) - 2:1
070,Yes,80.17,65.38,69.07,Second Class (Upper Division) - 2:1
071,Yes,72.17,66.0,67.54,Second Class (Upper Division) - 2:1
072,Yes,68.83,58.0,60.71,Second Class (Upper Division) - 2:1
073,Yes,70.67,60.75,63.23,Second Class (Upper Division) - 2:1
074,Yes,56.33,52.62,53.55,Second Class (Lower Division) - 2:2
075,Yes,58.5,62.62,61.59,Second Class (Upper Division) - 2:1
076,Yes,71.83,68.25,69.15,Second Class (Upper Division) - 2:1
077,Yes,60.0,57.62,58.22,Second Class (Lower Division) - 2:2
078,Yes,61.33,64.88,63.99,Second Class (Upper Division) - 2:1
079,Yes,73.0,65.25,67.19,Second Class (Upper Division) - 2:1
080,Yes,74.0,64.0,66.5,Second Class (Upper Division) - 2:1
081,Yes,76.33,64.88,67.74,Second Class (Upper Division) - 2:1
082,Yes,72.33,66.75,68.15,Second Class (Upper Division) - 2:1
083,Yes,63.5,54.38,56.66,Second Class (Lower Division) - 2:2
084,Yes,66.0,62.88,63.66,Second Class (Upper Division) - 2:1
085,Yes,68.17,58.0,60.54,Second Class (Upper Division) - 2:1
086,Yes,69.5,68.12,68.47,Second Class (Upper Division) - 2:1
087,Yes,69.17,56.25,59.48,Second Class (Lower Division) - 2:2
088,Yes,71.0,65.5,66.88,Second Class (Upper Division) - 2:1
089,Yes,62.83,65.88,65.11,Second Class (Upper Division) - 2:1
090,Yes,69.17,60.5,62.67,Second Class (Upper Division) - 2:1
091,Yes,66.17,63.0,63.79,Second Class (Upper Division) - 2:1
092,Yes,70.33,64.25,65.77,Second Class (Upper Division) - 2:1
093,Yes,59.5,69.75,67.19,Second Class (Upper Division) - 2:1
094,Yes,78.67,56.88,62.32,Second Class (Upper Division) - 2:1
095,Yes,63.33,66.0,65.33,Second Class (Upper Division) - 2:1
096,Yes,77.0,57.12,62.09,Second Class (Upper Division) - 2:1
097,Yes,64.5,63.5,63.75,Second Class (Upper Division) - 2:1
098,Yes,67.17,65.88,66.2,Second Class (Upper Division) - 2:1
099,No,N/A,N/A,N/A,Fail (failed module(s))
100,Yes,64.0,58.62,59.97,Second Class (Lower Division) - 2:2
101,Yes,73.17,53.25,58.23,Second Class (Lower Division) - 2:2
102,Yes,78.33,67.75,70.4,First Class
103,Yes,64.83,59.12,60.55,Second Class (Upper Division) - 2:1
104,Yes,69.83,60.5,62.83,Second Class (Upper Division) - 2:1
105,Yes,63.83,54.62,56.93,Second Class (Lower Division) - 2:2
106,Yes,70.67,67.75,68.48,Second Class (Upper Division) - 2:1
107,Yes,68.0,66.88,67.16,Second Class (Upper Division) - 2:1
108,Yes,66.67,66.25,66.35,Second Class (Upper Division) - 2:1
109,Yes,66.33,73.38,71.61,First Class
110,Yes,71.17,68.25,68.98,Second Class (Upper Division) - 2:1
111,Yes,71.83,64.62,66.43,Second Class (Upper Division) - 2:1
112,Yes,67.67,49.25,53.85,Second Class (Lower Division) - 2:2
113,Yes,69.17,61.5,63.42,Second Class (Upper Division) - 2:1
114,Yes,74.5,52.12,57.72,Second Class (Lower Division) - 2:2
115,Yes,69.33,66.25,67.02,Second Class (Upper Division) - 2:1
116,Yes,64.0,52.38,55.28,Second Class (Lower Division) - 2:2
117,Yes,70.33,59.12,61.93,Second Class (Upper Division) - 2:1
118,Yes,82.33,59.75,65.4,Second Class (Upper Division) - 2:1
119,Yes,71.83,65.38,66.99,Second Class (Upper Division) - 2:1
120,Yes,66.67,62.88,63.82,Second Class (Upper Division) - 2:1
121,Yes,64.5,58.5,60.0,Second Class (Upper Division) - 2:1
122,Yes,72.83,51.38,56.74,Second Class (Lower Division) - 2:2
123,Yes,69.67,57.25,60.35,Second Class (Upper Division) - 2:1
124,Yes,70.67,62.62,64.64,Second Class (Upper Division) - 2:1
125,Yes,65.5,59.88,61.28,Second Class (Upper Division) - 2:1
126,Yes,60.5,67.0,65.38,Second Class (Upper Division) - 2:1
127,Yes,72.67,67.5,68.79,Second Class (Upper Division) - 2:1
128,Yes,63.0,67.5,66.38,Second Class (Upper Division) - 2:1
129,Yes,69.83,68.38,68.74,Second Class (Upper Division) - 2:1
130,Yes,78.0,66.75,69.56,Second Class (Upper Division) - 2:1
131,Yes,66.83,60.5,62.08,Second Class (Upper Division) - 2:1
132,Yes,65.67,64.0,64.42,Second Class (Upper Division) - 2:1
133,Yes,75.83,54.0,59.46,Second Class (Lower Division) - 2:2
134,Yes,65.17,57.38,59.32,Second Class (Lower Division) - 2:2
135,Yes,63.0,66.25,65.44,Second Class (Upper Division) - 2:1
136,Yes,60.67,67.62,65.89,Second Class (Upper Division) - 2:1
137,Yes,56.83,60.0,59.21,Second Class (Lower Division) - 2:2
138,Yes,67.83,62.62,63.93,Second Class (Upper Division) - 2:1
139,Yes,65.0,52.38,55.53,Second Class (Lower Division) - 2:2
140,Yes,62.33,53.12,55.43,Second Class (Lower Division) - 2:2
141,Yes,55.5,63.25,61.31,Second Class (Upper Division) - 2:1
142,Yes,66.0,60.75,62.06,Second Class (Upper Division) - 2:1
143,Yes,68.83,61.75,63.52,Second Class (Upper Division) - 2:1
144,Yes,64.83,60.75,61.77,Second Class (Upper Division) - 2:1
145,Yes,77.5,53.62,59.59,Second Class (Lower Division) - 2:2
146,Yes,69.17,57.12,60.14,Second Class (Upper Division) - 2:1
147,Yes,50.67,65.12,61.51,Second Class (Upper Division) - 2:1
148,Yes,77.83,71.0,72.71,First Class
149,Yes,67.33,68.5,68.21,Second Class (Upper Division) - 2:1
150,Yes,62.5,61.88,62.03,Second Class (Upper Division) - 2:1
151,Yes,66.17,64.25,64.73,Second Class (Upper Division) - 2:1
152,Yes,54.5,64.12,61.72,Second Class (Upper Division) - 2:1
153,Yes,75.33,53.88,59.24,Second Class (Lower Division) - 2:2
154,Yes,61.17,64.25,63.48,Second Class (Upper Division) - 2:1
155,Yes,63.5,64.75,64.44,Second Class (Upper Division) - 2:1
156,Yes,71.5,61.88,64.28,Second Class (Upper Division) - 2:1
157,Yes,58.83,67.38,65.24,Second Class (Upper Division) - 2:1
158,Yes,76.33,61.5,65.21,Second Class (Upper Division) - 2:1
159,Yes,78.5,62.0,66.12,Second Class (Upper Division) - 2:1
160,Yes,71.5,57.38,60.91,Second Class (Upper Division) - 2:1
161,Yes,66.33,58.0,60.08,Second Class (Upper Division) - 2:1
162,Yes,57.17,58.5,58.17,Second Class (Lower Division) - 2:2
163,Yes,68.5,70.38,69.91,Second Class (Upper Division) - 2:1
164,Yes,64.17,51.5,54.67,Second Class (Lower Division) - 2:2
165,Yes,83.0,62.38,67.53,Second Class (Upper Division) - 2:1
166,Yes,63.5,53.0,55.62,Second Class (Lower Division) - 2:2
167,Yes,71.0,63.88,65.66,Second Class (Upper Division) - 2:1
168,Yes,62.33,59.12,59.93,Second Class (Lower Division) - 2:2
169,Yes,76.17,64.75,67.6,Second Class (Upper Division) - 2:1
170,Yes,60.17,70.62,68.01,Second Class (Upper Division) - 2:1
171,Yes,81.0,72.25,74.44,First Class
172,Yes,66.83,59.12,61.05,Second Class (Upper Division) - 2:1
173,Yes,75.83,60.38,64.24,Second Class (Upper Division) - 2:1
174,Yes,63.83,62.62,62.93,Second Class (Upper Division) - 2:1
175,Yes,69.17,69.12,69.14,Second Class (Upper Division) - 2:1
176,Yes,80.83,56.38,62.49,Second Class (Upper Division) - 2:1
177,Yes,59.0,70.38,67.53,Second Class (Upper Division) - 2:1
178,Yes,66.5,63.38,64.16,Second Class (Upper Division) - 2:1
179,Yes,64.67,62.5,63.04,Second Class (Upper Division) - 2:1
180,Yes,60.67,66.88,65.32,Second Class (Upper Division) - 2:1
181,Yes,69.17,72.25,71.48,First Class
182,Yes,69.33,58.25,61.02,Second Class (Upper Division) - 2:1
183,Yes,72.67,51.25,56.6,Second Class (Lower Division) - 2:2
184,Yes,58.0,58.5,58.38,Second Class (Lower Division) - 2:2
185,Yes,61.83,68.0,66.46,Second Class (Upper Division) - 2:1
186,Yes,63.33,55.62,57.55,Second Class (Lower Division) - 2:2
187,Yes,61.0,68.0,66.25,Second Class (Upper Division) - 2:1
188,Yes,62.17,57.25,58.48,Second Class (Lower Division) - 2:2
189,Yes,68.17,54.25,57.73,Second Class (Lower Division) - 2:2
190,Yes,52.17,58.38,56.82,Second Class (Lower Division) - 2:2
191,Yes,65.67,68.12,67.51,Second Class (Upper Division) - 2:1
192,Yes,66.83,67.12,67.05,Second Class (Upper Division) - 2:1
193,Yes,69.17,60.5,62.67,Second Class (Upper Division) - 2:1
194,Yes,62.83,66.38,65.49,Second Class (Upper Division) - 2:1
195,Yes,64.33,71.5,69.71,Second Class (Upper Division) - 2:1
196,Yes,66.67,65.62,65.89,Second Class (Upper Division) - 2:1
197,Yes,69.0,56.0,59.25,Second Class (Lower Division) - 2:2
198,Yes,62.0,63.25,62.94,Second Class (Upper Division) - 2:1
199,No,N/A,N/A,N/A,Fail (failed module(s))
200,Yes,54.33,62.0,60.08,Second Class (Upper Division) - 2:1
201,Yes,67.83,59.38,61.49,Second Class (Upper Division) - 2:1
202,Yes,65.0,52.0,55.25,Second Class (Lower Division) - 2:2
203,Yes,68.33,63.0,64.33,Second Class (Upper Division) - 2:1
204,Yes,70.0,61.12,63.34,Second Class (Upper Division) - 2:1
205,Yes,70.83,52.38,56.99,Second Class (Lower Division) - 2:2
206,Yes,73.83,60.0,63.46,Second Class (Upper Division) - 2:1
207,Yes,61.33,54.75,56.4,Second Class (Lower Division) - 2:2
208,Yes,73.67,64.25,66.6,Second Class (Upper Division) - 2:1
209,Yes,63.0,66.88,65.91,Second Class (Upper Division) - 2:1
210,Yes,70.0,70.25,70.19,First Class
211,Yes,62.5,60.12,60.72,Second Class (Upper Division) - 2:1
212,Yes,68.83,54.5,58.08,Second Class (Lower Division) - 2:2
213,Yes,59.33,63.12,62.18,Second Class (Upper Division) - 2:1
214,Yes,56.0,51.0,52.25,Second Class (Lower Division) - 2:2
215,Yes,69.17,65.25,66.23,Second Class (Upper Division) - 2:1
216,Yes,59.83,68.25,66.15,Second Class (Upper Division) - 2:1
217,Yes,66.0,64.62,64.97,Second Class (Upper Division) - 2:1
218,Yes,78.67,49.5,56.79,Second Class (Lower Division) - 2:2
219,Yes,61.5,58.12,58.97,Second Class (Lower Division) - 2:2
220,Yes,61.67,64.25,63.6,Second Class (Upper Division) - 2:1
221,Yes,71.5,54.25,58.56,Second Class (Lower Division) - 2:2
222,Yes,78.17,65.0,68.29,Second Class (Upper Division) - 2:1
223,Yes,61.67,65.5,64.54,Second Class (Upper Division) - 2:1
224,Yes,66.17,49.25,53.48,Second Class (Lower Division) - 2:2
225,Yes,72.17,72.38,72.32,First Class
226,Yes,67.17,54.88,57.95,Second Class (Lower Division) - 2:2
227,Yes,59.0,68.5,66.12,Second Class (Upper Division) - 2:1
228,Yes,56.67,67.0,64.42,Second Class (Upper Division) - 2:1
229,Yes,67.67,57.25,59.85,Second Class (Lower Division) - 2:2
230,Yes,65.5,63.12,63.72,Second Class (Upper Division) - 2:1
231,Yes,74.33,54.12,59.18,Second Class (Lower Division) - 2:2
232,Yes,60.17,70.12,67.64,Second Class (Upper Division) - 2:1
233,Yes,73.0,58.0,61.75,Second Class (Upper Division) - 2:1
234,Yes,63.17,62.12,62.39,Second Class (Upper Division) - 2:1
235,Yes,76.83,60.62,64.68,Second Class (Upper Division) - 2:1
236,Yes,65.83,69.62,68.68,Second Class (Upper Division) - 2:1
237,Yes,52.83,59.0,57.46,Second Class (Lower Division) - 2:2
238,Yes,78.5,59.0,63.88,Second Class (Upper Division) - 2:1
239,Yes,66.83,72.0,70.71,First Class
240,Yes,67.0,60.38,62.03,Second Class (Upper Division) - 2:1
241,Yes,66.67,64.88,65.32,Second Class (Upper Division) - 2:1
242,Yes,48.0,54.25,52.69,Second Class (Lower Division) - 2:2
243,Yes,60.83,56.75,57.77,Second Class (Lower Division) - 2:2
244,Yes,68.5,52.12,56.22,Second Class (Lower Division) - 2:2
245,Yes,65.0,52.75,55.81,Second Class (Lower Division) - 2:2
246,Yes,68.0,62.25,63.69,Second Class (Upper Division) - 2:1
247,Yes,55.0,62.25,60.44,Second Class (Upper Division) - 2:1
248,Yes,70.33,63.88,65.49,Second Class (Upper Division) - 2:1
249,Yes,75.33,68.88,70.49,First Class
250,Yes,72.0,70.62,70.97,First Class
251,Yes,63.83,56.5,58.33,Second Class (Lower Division) - 2:2
252,Yes,71.5,59.5,62.5,Second Class (Upper Division) - 2:1
253,Yes,69.17,63.38,64.82,Second Class (Upper Division) - 2:1
254,Yes,65.0,67.62,66.97,Second Class (Upper Division) - 2:1
255,Yes,69.17,77.12,75.14,First Class
256,Yes,73.5,56.25,60.56,Second Class (Upper Division) - 2:1
257,Yes,79.17,60.88,65.45,Second Class (Upper Division) - 2:1
258,Yes,68.5,66.38,66.91,Second Class (Upper Division) - 2:1
259,Yes,66.5,66.25,66.31,Second Class (Upper Division) - 2:1
260,Yes,62.5,64.0,63.62,Second Class (Upper Division) - 2:1
261,Yes,59.0,67.62,65.47,Second Class (Upper Division) - 2:1
262,Yes,71.5,63.62,65.59,Second Class (Upper Division) - 2:1
263,Yes,61.67,62.75,62.48,Second Class (Upper Division) - 2:1
264,Yes,68.5,52.38,56.41,Second Class (Lower Division) - 2:2
265,Yes,63.5,67.62,66.59,Second Class (Upper Division) - 2:1
266,Yes,69.67,56.25,59.6,Second Class (Lower Division) - 2:2
267,Yes,67.83,57.5,60.08,Second Class (Upper Division) - 2:1
268,Yes,63.33,68.12,66.93,Second Class (Upper Division) - 2:1
269,Yes,62.5,65.25,64.56,Second Class (Upper Division) - 2:1
270,Yes,56.0,68.0,65.0,Second Class (Upper Division) - 2:1
271,Yes,68.83,70.0,69.71,Second Class (Upper Division) - 2:1
272,Yes,65.5,59.0,60.62,Second Class (Upper Division) - 2:1
273,Yes,53.33,69.12,65.18,Second Class (Upper Division) - 2:1
274,Yes,65.33,69.75,68.65,Second Class (Upper Division) - 2:1
275,Yes,62.67,65.75,64.98,Second Class (Upper Division) - 2:1
276,Yes,71.33,58.38,61.61,Second Class (Upper Division) - 2:1
277,Yes,65.67,54.38,57.2,Second Class (Lower Division) - 2:2
278,Yes,70.83,62.25,64.4,Second Class (Upper Division) - 2:1
279,Yes,70.33,68.12,68.68,Second Class (Upper Division) - 2:1
280,Yes,66.0,67.0,66.75,Second Class (Upper Division) - 2:1
281,Yes,64.5,62.5,63.0,Second Class (Upper Division) - 2:1
282,Yes,67.0,65.25,65.69,Second Class (Upper Division) - 2:1
283,Yes,72.0,63.12,65.34,Second Class (Upper Division) - 2:1
284,Yes,67.0,67.25,67.19,Second Class (Upper Division) - 2:1
285,Yes,64.83,71.25,69.65,Second Class (Upper Division) - 2:1
286,Yes,65.33,57.25,59.27,Second Class (Lower Division) - 2:2
287,Yes,61.17,52.25,54.48,Second Class (Lower Division) - 2:2
288,Yes,59.33,60.75,60.4,Second Class (Upper Division) - 2:1
289,Yes,76.0,58.12,62.59,Second Class (Upper Division) - 2:1
290,Yes,66.33,57.75,59.9,Second Class (Lower Division) - 2:2
291,Yes,70.33,62.88,64.74,Second Class (Upper Division) - 2:1
292,Yes,56.83,54.62,55.18,Second Class (Lower Division) - 2:2
293,Yes,70.5,55.5,59.25,Second Class (Lower Division) - 2:2
294,Yes,72.0,61.62,64.22,Second Class (Upper Division) - 2:1
295,Yes,68.67,64.12,65.26,Second Class (Upper Division) - 2:1
296,Yes,58.5,63.62,62.34,Second Class (Upper Division) - 2:1
297,Yes,71.5,62.25,64.56,Second Class (Upper Division) - 2:1
298,Yes,68.67,65.62,66.39,Second Class (Upper Division) - 2:1
299,No,N/A,N/A,N/A,Fail (failed module(s))
